"EMPRESA";"ENDERECO";"NUMERO";"BAIRRO";"CEP";"MUNICIPIO";"UF";"FAIXA_VALOR";"ENDERECO_COMPLETO";"lon";"lat"
"ADM DO BRASIL LTDA";"AVENIDA SENADOR ATTILIO FON";"1001";"DISTRITO INDUSTRIAL";78745800;"RONDONOPOLIS";"MT";"Acima de US$ 100 milhões";"AVENIDA SENADOR ATTILIO FON, 1001, DISTRITO INDUSTRIAL, RONDONOPOLIS, MT";-54,6682216;-16,4716474
"NOBLE BRASIL S.A.";"RUA B";"3692";"PARQUE INDUSTRIAL I";78746860;"RONDONOPOLIS";"MT";"Acima de US$ 100 milhões";"RUA B, 3692, PARQUE INDUSTRIAL I, RONDONOPOLIS, MT";-54,6133932;-16,4654204
"BTG PACTUAL COMMODITIES S.A";"AVENIDA MARIO RAITER";"1212";"LOTEAMENTO CLUBE SO";78890000;"SORRISO";"MT";"Acima de US$ 100 milhões";"AVENIDA MARIO RAITER, 1212, LOTEAMENTO CLUBE SO, SORRISO, MT";-55,7215367;-12,5429456
"MULTIGRAIN S.A.";"RODOVIA BR 163";"S/N";"EXPANSAO URBANA";78890000;"SORRISO";"MT";"Acima de US$ 100 milhões";"RODOVIA BR 163, S/N, EXPANSAO URBANA, SORRISO, MT";-55,7215367;-12,5429456
"BUNGE ALIMENTOS S/A";"RODOVIA BR 163";"S/N";"SETOR INDUSTRIAL E";78450000;"NOVA MUTUM";"MT";"Acima de US$ 100 milhões";"RODOVIA BR 163, S/N, SETOR INDUSTRIAL E, NOVA MUTUM, MT";-56,1088642;-14,4024697
"JBS S/A";"AVENIDA ATTILIO FONTANA";"2550";"JARDIM AMAZONIA";78600000;"BARRA DO GARCAS";"MT";"Acima de US$ 100 milhões";"AVENIDA ATTILIO FONTANA, 2550, JARDIM AMAZONIA, BARRA DO GARCAS, MT";-52,2478121;-15,8866908
"BUNGE ALIMENTOS S/A";"RODOVIA BR 364";"S/N";"DIST INDL VETORASSO";78745001;"RONDONOPOLIS";"MT";"Acima de US$ 100 milhões";"RODOVIA BR 364, S/N, DIST INDL VETORASSO, RONDONOPOLIS, MT";-54,6387229;-16,4654757
"AFG BRASIL S/A";"RUA BARAO DE MELGACO";"2.754";"PORTO";78020800;"CUIABA";"MT";"Acima de US$ 100 milhões";"RUA BARAO DE MELGACO, 2.754, PORTO, CUIABA, MT";-56,1017962;-15,6021047
"CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA";"AVENIDA BLUMENAU";"2947";"CENTRO";78890000;"SORRISO";"MT";"Acima de US$ 100 milhões";"AVENIDA BLUMENAU, 2947, CENTRO, SORRISO, MT";-55,725033;-12,544112
"BUNGE ALIMENTOS S/A";"RUA ASA DELTA";"334";"PARQUE INDUSTRIAL";78850000;"PRIMAVERA DO LESTE";"MT";"Acima de US$ 100 milhões";"RUA ASA DELTA, 334, PARQUE INDUSTRIAL, PRIMAVERA DO LESTE, MT";-54,320346;-15,5768615
