"CO_PAIS";"NO_PAIS_POR";"VL_FOB"
"013";"Afeganistão";6733281
"017";"Albânia";36559955
"023";"Alemanha";5178904951
"031";"Burkina Faso";893158
"037";"Andorra";152825
"040";"Angola";647986587
"041";"Anguilla";716610
"043";"Antígua e Barbuda";6019469
"047";"Antilhas Holandesas";532637898
"053";"Arábia Saudita";2750366922
"059";"Argélia";993045770
"063";"Argentina";12800015447
"064";"Armênia";20878983
"065";"Aruba";30301263
"069";"Austrália";400298520
"072";"Áustria";139100372
"073";"Azerbaijão";25940482
"077";"Bahamas";593539741
"080";"Barein";309106623
"081";"Bangladesh";1147410889
"083";"Barbados";16405325
"085";"Belarus";11970035
"087";"Bélgica";2989689298
"088";"Belize";7559875
"090";"Bermudas";1877206
"093";"Mianmar";40138331
"097";"Bolívia";1482007999
"098";"Bósnia-Herzegovina";924707
"101";"Botsuana";3822357
"108";"Brunei";1346483
"111";"Bulgária";117910940
"115";"Burundi";115392
"119";"Butão";4465
"127";"Cabo Verde";21373063
"137";"Cayman, Ilhas";56099815
"141";"Camboja";3531458
"145";"Camarões";67373543
"149";"Canadá";2362544620
"150";"Canal, Ilhas do (Guernsey)";22289
"151";"Canárias, Ilhas";28515674
"153";"Cazaquistão";8107355
"154";"Catar";356953936
"158";"Chile";3978438486
"160";"China";35607523612
"161";"Taiwan (Formosa)";1574774561
"163";"Chipre";9271686
"165";"Cocos (Keeling), Ilhas";43
"169";"Colômbia";2115234768
"173";"Comores";869352
"177";"Congo";66819518
"183";"Cook, Ilhas";12558
"187";"Coreia do Norte";2482040
"190";"Coreia do Sul";3122212836
"193";"Costa do Marfim";47074850
"195";"Croácia";78607504
"196";"Costa Rica";267507344
"198";"Coveite (Kuweit)";239533983
"199";"Cuba";513556571
"200";"Curaçao";19063
"229";"Benin";109898815
"232";"Dinamarca";321918378
"235";"Dominica";2711670
"239";"Equador";665462387
"240";"Egito";2056588300
"243";"Eritreia";1280226
