"CO_ANO";"CO_MES";"EXP";"IMP"
1997;1;3684586329;2512124153
1997;2;3145636591;4249308184
1997;3;3823444112;4727504270
1997;4;4624474456;5534607111
1997;5;4655833845;4721520682
1997;6;4843614313;5208071998
1997;7;5238795799;5782869007
1997;8;5074799308;5369525218
1997;9;4588311030;5435408787
1997;10;4793012347;5644715601
1997;11;3975930433;5262503581
1997;12;4534287266;5299068496
1998;1;3916861090;4641272855
1998;2;3715926053;3943235604
1998;3;4273985367;5167087047
1998;4;4576580125;4629068494
1998;5;4611933252;4736139222
1998;6;4886364504;4703891762
1998;7;4970110086;5394787069
1998;8;3985621684;4155992635
1998;9;4538094015;5741168184
1998;10;4016893914;5460080480
1998;11;3703504560;4736030454
1998;12;3943986895;4454722168
1999;1;2949154776;3667312990
1999;2;3266867013;3166425156
1999;3;3829412981;4057036252
1999;4;3706750870;3675602407
1999;5;4386466597;4087415915
1999;6;4312612911;4460858184
1999;7;4117096889;4032469776
1999;8;4277089174;4466090407
1999;9;4187087694;4243634595
1999;10;4304132509;4460002264
1999;11;4001797406;4535745970
1999;12;4674321127;4448963776
2000;1;3453879475;3568862639
2000;2;4124889858;4046750398
2000;3;4473245145;4452388562
2000;4;4183741237;3996925496
2000;5;5065528883;4697876646
2000;6;4863568081;4605748293
2000;7;5005990739;4887298954
2000;8;5522393935;5425167233
2000;9;4727432602;5054179504
2000;10;4641288911;5188245047
2000;11;4394431433;5052874250
2000;12;4662529566;4874346116
2001;1;4541623764;5022206001
2001;2;4086790148;4003034945
2001;3;5173027536;5449181143
2001;4;4735323043;4611516774
2001;5;5372620976;5160802785
2001;6;5047763762;4761391842
2001;7;4970156817;4856542133
2001;8;5733053483;5098809280
2001;9;4759850802;4159854994
2001;10;5008557126;4758997661
2001;11;4506283984;4213531606
2001;12;4351541580;3505889252
2002;1;3975967550;3803140301
2002;2;3662989817;3397513343
2002;3;4266107599;3663201453
2002;4;4647813517;4140122107
2002;5;4447740894;4063478596
2002;6;4084584760;3399588245
2002;7;6230571298;5024547888
2002;8;5758053735;4174508020
2002;9;6497975108;4002250105
2002;10;6482182856;4283325666
2002;11;5134789656;3848469707
2002;12;5249876245;3442508768
2003;1;4811181392;3650452628
2003;2;5009028475;3891052706
2003;3;5246395514;3702909697
2003;4;5720005413;3989640635
2003;5;6381488142;3855279744
2003;6;5882943168;3521547239
2003;7;6114523476;4049624105
2003;8;6413605268;3734089225
2003;9;7291199616;4624716527
2003;10;7578687865;5032619513
2003;11;5993129201;4269258407
2003;12;6761034545;4004376204
2004;1;5809452343;4217055211
2004;2;5733238238;3761400163
2004;3;7944136093;5345306648
2004;4;6606292414;4634631536
2004;5;7960023354;4835513254
2004;6;9347432832;5530225685
2004;7;9011284343;5530206059
2004;8;9073756285;5623489343
2004;9;8939578126;5753223765
2004;10;8861649754;5840486950
2004;11;8177309337;6078106745
2004;12;9213345647;5685970270
2005;1;7457189902;5262674702
2005;2;7771878760;4979386828
2005;3;9270434926;5909740544
2005;4;9220566717;5331865601
2005;5;9835725485;6372331226
2005;6;10224832499;6176002427
2005;7;11079534680;6056909816
2005;8;11366262079;7695788932
2005;9;10654222622;6314921976
2005;10;9922943795;6228019750
2005;11;10809253532;6712248586
2005;12;10916339902;6560485284
2006;1;9286850191;6451583442
2006;2;8774460707;5971518694
2006;3;11396765577;7706591108
2006;4;9830693648;6741387155
2006;5;10304884611;7287576650
2006;6;11463247538;7365110533
2006;7;13651047549;7991677185
2006;8;13671699785;9117177055
2006;9;12576856844;8108928969
2006;10;12689255149;8738125726
2006;11;11896874788;8658192546
2006;12;12264833144;7212971742
2007;1;10983867609;8460558886
2007;2;10129505211;7228890125
2007;3;12888955944;9585314219
2007;4;12446172314;8265465151
2007;5;13647281258;9793819576
2007;6;13118083296;9295617598
2007;7;14119547669;10775199036
2007;8;15100028780;11559257073
2007;9;14165675118;10690974289
2007;10;15767821852;12339139645
2007;11;14051330343;12030737023
2007;12;14230803436;10592473629
2008;1;13276884351;12354335506
2008;2;12799919840;11952229583
2008;3;12612774542;11626158922
2008;4;14058430155;12326151785
2008;5;19303363465;15226891780
2008;6;18593307478;15865662420
2008;7;20451410348;17123308265
2008;8;19746866637;17446643280
2008;9;20017207512;17259382504
2008;10;18512307590;17184275994
2008;11;14752572586;13118556063
2008;12;13817398405;11501171512
2009;1;9781920008;10311642361
2009;2;9586405593;7825670189
2009;3;11809225427;10053047413
2009;4;12321617241;8629548972
2009;5;11984585301;9361505436
2009;6;14467784664;9864887680
2009;7;14141930086;11231404032
2009;8;13840850343;10787874378
2009;9;13863221927;12554379998
2009;10;14081686044;12766155040
2009;11;12652892311;12042461279
2009;12;14462623860;12293766210
2010;1;11305066944;11485733370
2010;2;12197237398;11808086277
2010;3;15727499154;15055315330
2010;4;15161211373;13878956346
2010;5;17702500109;14252236189
2010;6;17093911550;14827292678
2010;7;17672924687;16329294795
2010;8;19236252688;16845865380
2010;9;18832790420;17761624377
2010;10;18380418198;16553985801
2010;11;17687332378;17395959689
2010;12;20918140436;15574077206
2011;1;15214352952;14817194573
2011;2;16732470279;15539947134
2011;3;19285976953;17733527066
2011;4;20172976975;18313419671
2011;5;23208656952;19686561502
2011;6;23689078794;19260295866
2011;7;22251876846;19114348043
2011;8;26158507329;22262135210
2011;9;23285058030;20210806623
2011;10;22139952919;19777859541
2011;11;21773462792;21201551582
2011;12;22127203947;18329108990
2012;1;16140344319;17448479413
2012;2;18027792015;16325134459
2012;3;20910732221;18887409095
2012;4;19566298497;18687197542
2012;5;23213925742;20253705998
2012;6;19352834494;18552761964
2012;7;21003237336;18139764399
2012;8;22380911208;19159799196
2012;9;19998382904;17445239914
2012;10;21763367937;20112875633
2012;11;20471895783;20665858221
2012;12;19748291090;17505250809
2013;1;15966728014;20014320036
2013;2;15549464516;16835771760
2013;3;19320425611;19168260866
2013;4;20631040493;21638348485
2013;5;21822419593;21065147912
2013;6;21134041444;18833500006
2013;7;20806765049;22713864691
2013;8;21424021374;20209514301
2013;9;20850461196;18868779861
2013;10;22821002540;23061083210
2013;11;20861367401;19132674799
2013;12;20845837489;18206250060
2014;1;16026190798;20092939395
2014;2;15933832354;18062634046
2014;3;17627934342;17511522446
2014;4;19723925778;19216819580
2014;5;20752083676;20043319837
2014;6;20466916246;18119333444
2014;7;23024072161;21464363753
2014;8;20463307505;19305453487
2014;9;19616604854;20562627077
2014;10;18329649885;19511465163
2014;11;15645630327;18071358016
2014;12;17490736905;17192626339
2015;1;13704044559;16873839267
2015;2;12092230670;14932172572
2015;3;16978968634;16518673359
2015;4;15156274767;14666063420
2015;5;16769183205;14010832630
2015;6;19628438412;15099376197
2015;7;18533065548;16146430379
2015;8;15485353065;12794392709
2015;9;16148183035;13202278142
2015;10;16048986692;14053112480
2015;11;13806364678;12608645993
2015;12;16783231319;10543233761
2016;1;11239463899;10322281866
2016;2;13343461879;10299836957
2016;3;15991809841;11559986289
2016;4;15371913389;10509529309
2016;5;17568562882;11136975492
2016;6;16737749307;12768395593
2016;7;16328820527;11752302441
2016;8;16989086582;12849160507
