"Mun Trab";"mediana"
315820;788
313865;827.4
311880;831
313980;831
312290;831
315760;831
316105;832
310780;832
313535;836
314505;847.95
312960;850
312825;850.63
311160;851.04
316560;856
312660;856.535
316270;857.84
310220;860.64
315310;860.67
314670;861.4
312180;866.8
315600;866.8
316555;866.8
314270;866.8
313680;866.8
311290;866.8
315590;866.8
315330;866.8
316630;866.8
311545;867.365
316660;870
312400;870.46
316450;875.84
311870;882.93
314100;889.2
317107;892.5
312790;895.68
313580;897.13
314055;898.32
312130;900
313055;903
310440;906.13
310665;906.2
316805;906.2
313180;906.2
314345;906.2
313695;906.2
312707;906.2
315030;907.8
314550;910.84
316500;912.325
311115;914.225
317210;915.46
314150;915.68
314085;916.92
312737;919.84
312680;924.66
311170;925.1
314180;925.75
312020;926.84
315230;927.095
314090;928.89
311620;930.455
316550;933
310610;933.1
313650;934.365
314020;935
316620;935.07
310530;935.32
316570;936
315880;936.14
316110;937.13
312430;937.72
310925;938
311770;938.08
311390;938.4
316165;939
316840;940
312920;940.1
312220;942.23
313065;942.45
312190;943.63
316800;945.6
313600;945.6
310460;945.6
312760;945.6
312840;945.6
310870;945.6
310750;945.6
315727;945.6
316710;945.6
310340;945.6
311190;945.6
313870;945.6
315935;945.6
315053;945.6
313320;945.6
311680;945.6
316920;945.6
313050;945.6
312940;945.6
316280;945.6
315510;945.6
314160;945.6
311910;945.6
312670;945.6
311570;945.6
316265;945.6
312820;945.6
312083;945.6
314190;945.6
312595;945.6
313590;945.6
316030;945.6
312733;945.6
316225;945.6
312695;945.6
314010;945.6
314040;945.6
315645;945.6
315540;945.67
310920;946.585
310720;946.97
311540;947
310060;949
315680;950
312330;950
315650;951.5
312000;951.72
316400;952.81
317103;954.03
316380;955.45
311810;955.96
317065;956.36
312200;957
316650;957.675
313860;958.345
313470;960
313060;960.22
312087;961.36
312460;961.745
316257;963.01
310690;964
315270;965.87
312490;966.32
315800;967.6
313090;967.62
311070;968
313450;969
314915;969.14
314467;969.14
316255;969.24
312730;971.86
313970;971.86
314460;972
310570;973.1
310550;973.9
316290;974.4
311100;975.06
312370;977.12
316590;978.425
315830;979.38
313690;979.51
311410;980
316850;980.5
316600;981.13
315660;982.8
311650;984
313120;984.15
310790;984.58
315217;985
315010;985
315737;985
316360;985
315520;985.2
315220;985.36
313290;985.565
312380;986.455
310100;986.5
315930;986.58
311590;986.64
313810;987.225
315410;987.6
314830;987.76
314995;988
313510;990
315750;990
312850;991.125
315213;992.4
315730;993
313920;993.47
310840;993.82
315420;994.845
315060;995.08
312690;995.2
315490;996.825
315080;997.18
310770;998.63
311350;1000
312300;1000
316020;1000
310270;1000
312250;1000
315100;1000
315500;1000
314320;1001.31
316610;1003.83
315910;1003.84
317180;1004.59
310810;1005.135
312280;1005.815
312930;1006.18
310480;1006.27
314630;1006.48
315725;1006.89
310850;1007
313390;1007.08
311370;1008.64
312550;1008.64
313925;1010.82
310960;1011.15
310080;1011.47
313330;1011.53
316910;1011.68
315940;1012.49
313890;1012.58
314435;1012.84
310170;1014
316530;1014
315700;1014
312320;1014
310520;1014
316760;1014
316790;1014
312010;1014
312560;1014
317052;1014
314490;1014
314910;1014
315950;1014
311265;1014
313000;1014
314170;1014
312650;1014
314530;1014.16
310050;1014.17
314850;1014.92
313740;1015
313770;1015.49
312900;1015.6
313950;1016.235
311547;1016.52
310030;1017.03
316690;1017.79
316340;1017.98
316350;1018.2
310090;1018.695
312240;1018.97
311250;1019.39
311340;1020
310370;1020.17
315620;1022.07
313270;1023.455
315015;1024.08
311205;1024.4
314220;1024.4
317140;1024.4
316300;1024.4
313640;1024.4
313930;1024.4
317005;1024.4
310450;1024.4
312210;1024.4
310800;1024.4
314860;1024.4
314840;1024.4
310860;1024.4
310360;1024.4
315890;1024.4
310660;1024.4
316880;1024.4
312735;1024.4
315790;1024.4
314537;1024.4
317190;1024.4
311783;1024.4
314225;1024.4
312420;1024.48
310950;1024.54
311180;1024.8
316010;1025.485
313505;1026.85
315320;1027.6
314545;1027.755
311240;1028.6
312060;1029.17
312110;1030.075
310210;1030.9
316480;1031.215
311220;1031.35
310250;1033.64
310200;1033.99
313560;1034.14
315850;1034.32
312800;1034.42
312750;1034.64
311970;1034.96
315190;1036.43
310163;1036.8
310490;1037.09
315860;1037.54
316860;1037.6
311710;1037.63
314720;1039.24
316245;1039.5
311090;1040
310825;1040.75
