"VoteNumber","SenNumber","SenatorUpper","Vote","Party","GovCoalition","State","FP","Origin","Contentious","PercentYes","IndGov","VoteType","Content","Round"
2007001,"PRS0002/07","FLEXA RIBEIRO","S","PSDB",FALSE,"PA",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ARTHUR VIRGILIO","S","PSDB",FALSE,"AM",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","FLAVIO ARNS","N","PT",TRUE,"PR",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","MARCELO CRIVELLA","S","PRB",TRUE,"RJ",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JOAO DURVAL","N","PDT",FALSE,"BA",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","PAULO PAIM","S","PT",TRUE,"RS",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","EXPEDITO JUNIOR","S","PR",TRUE,"RO",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","EFRAIM MORAIS","S","PFL/DEM",FALSE,"PB",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ALOIZIO MERCADANTE","S","PT",TRUE,"SP",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","MAO SANTA","S","PMDB",TRUE,"PI",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","MAGNO MALTA","S","PR",TRUE,"ES",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","EDUARDO SUPLICY","S","PT",TRUE,"SP",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","GILVAM BORGES","S","PMDB",TRUE,"AP",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","RAIMUNDO COLOMBO","S","PFL/DEM",FALSE,"SC",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","CICERO LUCENA","S","PSDB",FALSE,"PB",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","FRANCISCO DORNELLES","S","PP",TRUE,"RJ",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","OSMAR DIAS","N","PDT",FALSE,"PR",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ALFREDO NASCIMENTO","S","PR",TRUE,"AM",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","VALDIR RAUPP","S","PMDB",TRUE,"RO",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","GARIBALDI ALVES FILHO","S","PMDB",TRUE,"RN",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","GERSON CAMATA","S","PMDB",TRUE,"ES",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JOAO TENORIO","S","PSDB",FALSE,"AL",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ALVARO DIAS","N","PSDB",FALSE,"PR",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JARBAS VASCONCELOS","S","PMDB",TRUE,"PE",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","WELLINGTON SALGADO","S","PMDB",TRUE,"MG",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","VALTER PEREIRA","S","PMDB",TRUE,"MS",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
